,team_url,team_name
2,mitchelton-scott-2020,Mitchelton-Scott
3,ef-pro-cycling-2020,EF Pro Cycling
5,bora-hansgrohe-2020,BORA - hansgrohe
6,lotto-soudal-2020,Lotto Soudal
7,bahrain-mclaren-2020,Bahrain - McLaren
8,cofidis-2020,Cofidis
13,ntt-pro-cycling-2020,NTT Pro Cycling
15,trek-segafredo-2020,Trek - Segafredo
17,groupama-fdj-2020,Groupama - FDJ
18,ag2r-la-mondiale-2020,AG2R La Mondiale
19,ccc-team-2020,CCC Team
20,israel-start-up-nation-2020,Israel Start-Up Nation
25,team-sunweb-2020,Team Sunweb
46,korda-mentha-real-estate-australia-2020,Korda Mentha Real Estate Australia
5,team-jumbo-visma-2020,Team Jumbo-Visma
15,movistar-team-2020,Movistar Team
18,circus-wanty-gobert-2020,Circus - Wanty Gobert
23,alpecin-fenix-2020,Alpecin-Fenix
24,team-total-direct-energie-2020,Team Total Direct Energie
28,sport-vlaanderen-baloise-2020,Sport Vlaanderen - Baloise
45,team-arkea-samsic-2020,Team Arkéa Samsic
47,uae-team-emirates-2020,UAE Team Emirates
67,astana-pro-team-2020,Astana Pro Team
143,bingoal-wallonie-bruxelles-2020,Bingoal - Wallonie Bruxelles
25,androni-sidermec-bottecchia-2020,Androni Giocattoli - Sidermec
36,vital-concept-bb-hotels-pb-ktm-2020,B&B Hotels - Vital Concept p/b KTM
143,bardiani-csf-2020,Bardiani-CSF-Faizanè
27,vini-zabu-ktm-2020,Vini Zabù - KTM
35,gazprom-rusvelo-2020,Gazprom - RusVelo
4,nippo-delko-one-provence-2020,NIPPO DELKO One Provence
5,ineos-grenadiers-2020,INEOS Grenadiers
44,riwal-securitas-cycling-team-2020,Riwal Securitas Cycling Team
0,deceuninck-quick-step-2021,Deceuninck - Quick Step
1,groupama-fdj-2021,Groupama - FDJ
2,israel-start-up-nation-2021,Israel Start-Up Nation
3,bahrain-victorious-2021,Bahrain - Victorious
4,lotto-soudal-2021,Lotto Soudal
5,astana-premier-tech-2021,Astana - Premier Tech
7,uae-team-emirates-2021,UAE Team Emirates
9,bora-hansgrohe-2021,BORA - hansgrohe
10,movistar-team-2021,Movistar Team
11,team-arkea-samsic-2021,Team Arkéa Samsic
12,cofidis-2021,Cofidis
13,alpecin-fenix-2021,Alpecin-Fenix
14,team-total-direct-energie-2021,Team Total Direct Energie
15,b-b-hotels-pb-ktm-2021,B&B Hotels p/b KTM
16,sport-vlaanderen-baloise-2021,Sport Vlaanderen - Baloise
18,ag2r-citroen-team-2021,AG2R Citroën Team
21,ineos-grenadiers-2021,INEOS Grenadiers
22,team-dsm-2021,Team DSM
27,intermarche-wanty-gobert-materiaux-2021,Intermarché - Wanty - Gobert Matériaux
29,team-qhubeka-assos-2021,Team Qhubeka ASSOS
34,ef-education-nippo-2021,EF Education - Nippo
35,team-bikeexchange-2021,Team BikeExchange
40,team-jumbo-visma-2021,Team Jumbo-Visma
42,bingoal-wallonie-bruxelles-2021,Bingoal - Wallonie Bruxelles
62,trek-segafredo-2021,Trek - Segafredo
37,bardiani-csf-2021,Bardiani-CSF-Faizanè
77,androni-giocattoli-sidermec-2021,Androni Giocattoli - Sidermec
99,eolo-kometa-2021,EOLO-Kometa
101,vini-zabu-2021,Vini Zabù
142,team-novo-nordisk-2021,Team Novo Nordisk
17,uno-x-pro-cycling-team-2021,Uno-X Pro Cycling Team
41,bingoal-pauwels-sauzen-wb-2021,Bingoal Pauwels Sauces WB
49,gazprom-rusvelo-2021,Gazprom - RusVelo
25,delko-2021,DELKO
39,caja-rural-seguros-rga-2021,Caja Rural - Seguros RGA
40,equipo-kern-pharma-2021,Equipo Kern Pharma
58,burgos-bh-2021,Burgos-BH
66,euskaltel-euskadi-2021,Euskaltel - Euskadi
68,team-qhubeka-nexthash-2021,Team Qhubeka NextHash
69,team-totalenergies-2021,TotalEnergies
0,team-jumbo-visma-2022,Jumbo-Visma
1,bahrain-victorious-2022,Bahrain - Victorious
2,ag2r-citroen-team-2022,AG2R Citroën Team
4,lotto-soudal-2022,Lotto Soudal
5,uno-x-pro-cycling-team-2022,Uno-X Pro Cycling Team
6,uae-team-emirates-2022,UAE Team Emirates
7,intermarche-wanty-gobert-materiaux-2022,Intermarché - Wanty - Gobert Matériaux
8,quick-step-alpha-vinyl-2022,Quick-Step Alpha Vinyl Team
9,trek-segafredo-2022,Trek - Segafredo
10,israel-premier-tech-2022,Israel - Premier Tech
11,groupama-fdj-2022,Groupama - FDJ
12,movistar-team-2022,Movistar Team
13,team-arkea-samsic-2022,Team Arkéa Samsic
15,ef-education-easypost-2022,EF Education-EasyPost
17,ineos-grenadiers-2022,INEOS Grenadiers
24,team-totalenergies-2022,TotalEnergies
25,b-b-hotels-ktm-2022,B&B Hotels - KTM
26,bora-hansgrohe-2022,BORA - hansgrohe
28,bingoal-pauwels-sauzen-wb-2022,Bingoal Pauwels Sauces WB
30,alpecin-fenix-2022,Alpecin-Fenix
40,cofidis-2022,Cofidis
42,team-dsm-2022,Team DSM
45,sport-vlaanderen-baloise-2022,Sport Vlaanderen - Baloise
91,astana-qazaqstan-team-2022,Astana Qazaqstan Team
108,team-bikeexchange-jayco-2022,Team BikeExchange - Jayco
18,bardiani-csf-faizane-2022,Bardiani-CSF-Faizanè
24,eolo-kometa-2022,EOLO-Kometa
61,drone-hopper-androni-giocattoli-2022,Drone Hopper -  Androni Giocattoli
62,equipo-kern-pharma-2022,Equipo Kern Pharma
25,burgos-bh-2022,Burgos-BH
15,caja-rural-seguros-rga-2022,Caja Rural - Seguros RGA
47,euskaltel-euskadi-2022,Euskaltel - Euskadi
5,alpecin-deceuninck-2022,Alpecin-Deceuninck
110,canada-2022,Canada
7,unisa-australia-2016,UniSA-Australia
10,drapac-professional-cycling-2016,Drapac Professional Cycling
77,team-roth-2016,Team Roth
26,one-pro-cycling-2016,One Pro Cycling
29,poland-2016,Poland
25,unisa-australia-2017,UniSA-Australia
16,soul-brasil-pro-cycling-team-2017,Soul Brasil Pro Cycling Team
39,manzana-postobon-2017,Manzana Postobon
13,rally-cycling-2017,Rally Cycling
22,jelly-belly-p-b-maxxis-2017,Jelly Belly p/b Maxxis
7,poland-2017,Poland
29,turkey-2017,Turkey
15,unisa-australia-2018,UniSA-Australia
33,manzana-postobon-2018,Manzana Postobon
2,lotto-fix-all-2018,Lotto Fix All
5,hagens-berman-axeon-2018,Hagens Berman Axeon
11,unitedhealthcare-pro-cycling-team-2018,UnitedHealthcare Pro Cycling Team
13,holowesko-citadel-pb-arapahoe-resources-2018,Holowesko - Citadel p/b Arapahoe Resources
8,poland-2018,Poland
40,turkey-2018,Turkey
29,unisa-australia-2019,UniSA-Australia
54,manzana-postobon-2019,Manzana Postobon
20,turkey-2019,Turkey
26,w52-fc-porto-2019,W52 / FC Porto 
70,swiss-cycling-2019,Swiss Cycling
1,united-states-2019,United States
32,hagens-berman-axeon-2019,Hagens Berman Axeon
19,switzerland-2019,Switzerland
7,poland-2019,Poland
8,unisa-australia-2020,UniSA-Australia
25,poland-2020,Poland
29,team-novo-nordisk-2020,Team Novo Nordisk
30,caja-rural-seguros-rga-2020,Caja Rural - Seguros RGA
74,burgos-bh-2020,Burgos-BH
84,rally-cycling-2021,Rally Cycling
56,swiss-cycling-2021,Swiss Cycling
25,switzerland-2021,Switzerland
48,poland-2021,Poland
44,gazprom-rusvelo-2022,Gazprom - RusVelo
52,switzerland-2022,Switzerland
83,human-powered-health-2022,Human Powered Health
17,team-novo-nordisk-2022,Team Novo Nordisk
29,poland-2022,Poland
