,rider_url,rider_name,nationality
24,daniel-navarro,NAVARRO Daniel,ES
25,louis-meintjes,MEINTJES Louis,ZA
31,andrey-zeits,ZEITS Andrey,KZ
34,peter-stetina,STETINA Peter,US
37,chris-anker-sorensen,SØRENSEN Chris Anker,DK
38,sam-oomen,OOMEN Sam,NL
39,florian-vachon,VACHON Florian,FR
42,julien-el-fares,EL FARES Julien,FR
53,fabian-wegmann,WEGMANN Fabian,DE
57,laurens-de-plus,DE PLUS Laurens,BE
58,anthony-delaplace,DELAPLACE Anthony,FR
59,igor-anton,ANTÓN Igor,ES
61,guillaume-martin,MARTIN Guillaume,FR
62,bart-de-clercq,DE CLERCQ Bart,BE
67,david-de-la-cruz,DE LA CRUZ David,ES
68,victor-campenaerts,CAMPENAERTS Victor,BE
71,laurent-pichon,PICHON Laurent,FR
72,marcel-wyss,WYSS Marcel,CH
75,armindo-fonseca,FONSECA Armindo,FR
77,christian-meier,MEIER Christian,CA
80,romain-hardy,HARDY Romain,FR
82,clement-chevrier,CHEVRIER Clément,FR
84,gaetan-bille,BILLE Gaëtan,BE
85,paolo-tiralongo,TIRALONGO Paolo,IT
86,oliver-zaugg,ZAUGG Oliver,CH
92,pawel-poljanski,POLJAŃSKI Paweł,PL
97,ivan-rovny,ROVNY Ivan,RU
103,tomasz-marczynski,MARCZYŃSKI Tomasz,PL
105,remy-di-gregorio,DI GRÉGORIO Rémy,FR
107,anthony-turgis,TURGIS Anthony,FR
120,lawson-craddock,CRADDOCK Lawson,US
126,daniel-teklehaimanot,TEKLEHAIMANOT Daniel,ER
128,michael-reihs,REIHS Michael,DK
130,alexey-vermeulen,VERMEULEN Alexey,US
132,julien-loubet,LOUBET Julien,FR
134,sander-armee,ARMÉE Sander,BE
138,nicolas-edet,EDET Nicolas,FR
139,jean-marc-bideau,BIDEAU Jean-Marc,FR
154,leonardo-duque,DUQUE Leonardo Fabio,FR
156,reinier-honig,HONIG Reinier,NL
157,delio-fernandez,FERNÁNDEZ Delio,ES
160,koen-bouwman,BOUWMAN Koen,NL
161,christian-mager,MAGER Christian,DE
163,kevin-ledanois,LEDANOIS Kévin,FR
164,brice-feillu,FEILLU Brice,FR
173,haimar-zubeldia,ZUBELDIA Haimar,ES
175,jacques-janse-van-rensburg,JANSE VAN RENSBURG Jacques,ZA
177,caleb-fairly,FAIRLY Caleb,US
181,lasse-norman-leth,NORMAN LETH Lasse ,DK
182,thomas-koep,KOEP Thomas,DE
183,linus-gerdemann,GERDEMANN Linus,DE
184,mads-pedersen,PEDERSEN Mads,DK
185,gerald-ciolek,CIOLEK Gerald,DE
193,thomas-de-gendt,DE GENDT Thomas,BE
197,daniel-diaz,DIAZ Daniel,AR
198,quentin-pacher,PACHER Quentin,FR
4,ilnur-zakarin,ZAKARIN Ilnur,RU
10,tanel-kangert,KANGERT Tanel,EE
12,romain-bardet,BARDET Romain,FR
52,merhawi-kudus,KUDUS Merhawi,ER
61,jean-christophe-peraud,PERAUD Jean-Christophe,FR
62,domenico-pozzovivo,POZZOVIVO Domenico,IT
65,steve-morabito,MORABITO Steve,CH
70,emanuel-buchmann,BUCHMANN Emanuel,DE
75,pierrick-fedrigo,FÉDRIGO Pierrick,FR
85,jose-mendes,MENDES José,PT
88,romain-sicard,SICARD Romain,FR
90,richie-porte,PORTE Richie,AU
92,kanstantsin-siutsou,SIUTSOU Kanstantsin,BY
