,rider_url,rider_name,nationality
97,franklin-six,SIX Franklin,BE
98,mathijs-paasschens,PAASSCHENS Mathijs,NL
103,robbe-ghys,GHYS Robbe,BE
104,sasha-weemaes,WEEMAES Sasha,BE
110,filippo-fortin,FORTIN Filippo,IT
114,alfdan-de-decker,DE DECKER Alfdan,BE
146,thimo-willems,WILLEMS Thimo,BE
162,rasmus-byriel-iversen,IVERSEN Rasmus,DK
164,clement-carisey,CARISEY Clément,FR
3,mathieu-van-der-poel,VAN DER POEL Mathieu,NL
27,gianni-vermeersch,VERMEERSCH Gianni,BE
136,emiel-planckaert,PLANCKAERT Emiel,BE
100,alan-riou,RIOU Alan,FR
107,joseph-areruya,ARERUYA Joseph,RW
113,philipp-walsleben,WALSLEBEN Philipp,DE
60,mario-gonzalez-salas,GONZÁLEZ Mario,ES
98,aurelien-paret-peintre,PARET-PEINTRE Aurélien,FR
104,william-barta,BARTA Will,US
118,gavin-mannion,MANNION Gavin,US
151,kenny-molly,MOLLY Kenny,BE
158,oscar-rodriguez,RODRÍGUEZ Óscar,ES
162,ander-barrenetxea,BARRENETXEA Ander,ES
166,edwin-avila,ÁVILA Edwin,CO
150,aaron-van-poucke,VAN POUCKE Aaron,BE
6,davide-gabburo,GABBURO Davide,IT
19,joris-nieuwenhuis,NIEUWENHUIS Joris,NL
41,lorenzo-fortunato,FORTUNATO Lorenzo,IT
49,geoffrey-bouchard,BOUCHARD Geoffrey,FR
84,rui-oliveira,OLIVEIRA Rui,PT
107,massimo-rosa,ROSA Massimo,IT
136,anton-vorobyev,VOROBYEV Anton,RU
0,remco-evenepoel,EVENEPOEL Remco,BE
45,jaakko-hanninen,HÄNNINEN Jaakko,FI
55,riccardo-zoidl,ZOIDL Riccardo,AT
59,gonzalo-serrano,SERRANO Gonzalo,ES
68,fernando-barcelo,BARCELÓ Fernando,ES
79,joel-nicolau,NICOLAU Joel,ES
80,nicolas-sessler,SESSLER Nícolas,BR
88,jose-carlos-prates-neves-fernandes,NEVES José,PT
95,kevin-geniets,GENIETS Kevin,LU
9,ethan-hayter,HAYTER Ethan,GB
12,matthew-walls,WALLS Matthew,GB
21,alessandro-fedeli,FEDELI Alessandro,IT
24,gerben-thijssen,THIJSSEN Gerben,BE
41,alexis-guerin,GUERIN Alexis,FR
67,connor-swift,SWIFT Connor,GB
78,thomas-stewart,STEWART Thomas,GB
84,fabien-schmidt,SCHMIDT Fabien,FR
121,gabriel-cullaigh,CULLAIGH Gabriel,GB
27,luis-villalobos-hernandez,VILLALOBOS Luis,MX
70,petr-rikunov,RIKUNOV Petr,RU
110,rodrigo-contreras,CONTRERAS Rodrigo,CO
121,vladislav-kulikov,KULIKOV Vladislav,RU
42,brent-van-moer,VAN MOER Brent,BE
73,laurent-gervais,GERVAIS Laurent,CA
95,jonas-vingegaard-rasmussen,VINGEGAARD Jonas,DK
114,jordan-cheyne,CHEYNE Jordan,CA
124,evan-burtnik,BURTNIK Evan,CA
97,robin-plamondon,PLAMONDON Robin,CA
75,sergio-higuita,HIGUITA Sergio,CO
97,josip-rumac,RUMAC Josip,HR
100,luca-covili,COVILI Luca,IT
114,daniel-savini,SAVINI Daniel,IT
116,daniel-munoz,MUÑOZ Daniel,CO
132,aleksey-rybalkin,RYBALKIN Aleksey,RU
174,francesco-romano,ROMANO Francesco,IT
27,matthew-holmes,HOLMES Matthew,GB
35,fabian-lienhard,LIENHARD Fabian,CH
48,stefan-de-bod,DE BOD Stefan,ZA
50,ide-schelling,SCHELLING Ide,NL
52,joao-almeida,ALMEIDA João,PT
58,juan-pedro-lopez,LÓPEZ Juan Pedro,ES
62,rudy-porter,PORTER Rudy,AU
63,jonas-rutsch,RUTSCH Jonas,DE
77,michel-ries,RIES Michel,LU
85,samuele-battistella,BATTISTELLA Samuele,IT
92,conor-leahy,LEAHY Conor,AU
99,alberto-dainese,DAINESE Alberto,IT
102,cameron-wurf,WURF Cameron,AU
104,elliot-schultz,SCHULTZ Elliot,AU
105,blake-quick,QUICK Blake,AU
107,santiago-buitrago-sanchez,BUITRAGO Santiago,CO
26,johan-jacobs,JACOBS Johan,CH
57,alexander-konychev,KONYCHEV Alexander,IT
68,alfred-wright,WRIGHT Fred,GB
85,emmanuel-morin,MORIN Emmanuel,FR
105,mikkel-bjerg,BJERG Mikkel,DK
107,alessandro-covi,COVI Alessandro,IT
110,quinn-simmons,SIMMONS Quinn,US
114,andreas-stokbro,STOKBRO Andreas,DK
121,nils-eekhoff,EEKHOFF Nils,NL
131,patrick-gamper,GAMPER Patrick,AT
140,cedric-beullens,BEULLENS Cedric,BE
141,gilles-de-wilde,DE WILDE Gilles,BE
146,joel-suter,SUTER Joel,CH
157,juri-hollmann,HOLLMANN Juri,DE
158,matteo-jorgenson,JORGENSON Matteo,US
49,simone-ravanelli,RAVANELLI Simone,IT
70,simon-guglielmi,GUGLIELMI Simon,FR
85,matteo-sobrero,SOBRERO Matteo,IT
116,quinten-hermans,HERMANS Quinten,BE
118,corne-van-kessel,VAN KESSEL Corné,NL
123,einer-augusto-rubio-reyes,RUBIO Einer Augusto,CO
131,kobe-goossens,GOOSSENS Kobe,BE
132,florian-vermeersch,VERMEERSCH Florian,BE
134,stefano-oldani,OLDANI Stefano,IT
139,norman-vahtra,VAHTRA Norman,EE
141,mattia-viel,VIEL Mattia,IT
144,fabio-mazzucco,MAZZUCCO Fabio,IT
145,nicolas-dalla-valle,DALLA VALLE Nicolas,IT
149,filippo-fiorelli,FIORELLI Filippo,IT
162,maxime-chevalier,CHEVALIER Maxime,FR
96,roberto-gonzalez,GONZÁLEZ Roberto Carlos,PA
108,mattia-bais,BAIS Mattia,IT
113,imerio-cima,CIMA Imerio,IT
137,leonardo-bonifazio,BONIFAZIO Leonardo,IT
149,james-mitri,MITRI James,NZ
159,nicola-venchiarutti,VENCHIARUTTI Nicola,IT
22,matteo-badilatti,BADILATTI Matteo,CH
52,harold-tejada,TEJADA Harold,CO
72,chris-harper,HARPER Chris,AU
84,juan-diego-alba,ALBA Juan Diego,CO
87,attila-valter,VALTER Attila,HU
91,benjamin-thomas-2,THOMAS Benjamin,FR
94,filippo-zana,ZANA Filippo,IT
100,theo-delacroix,DELACROIX Théo,FR
104,clement-champoussin,CHAMPOUSSIN Clément,FR
108,attilio-viviani,VIVIANI Attilio,IT
113,alexys-brunel,BRUNEL Alexys,FR
126,benjamin-dyball,DYBALL Benjamin,AU
128,enrico-gasparotto,GASPAROTTO Enrico,CH
129,andrea-bagioli,BAGIOLI Andrea,IT
148,jasper-de-plus,DE PLUS Jasper,BE
150,anton-kuzmin,KUZMIN Anton,KZ
151,denis-nekrasov,NEKRASOV Denis,RU
163,luca-chirico,CHIRICO Luca,IT
20,luca-mozzato,MOZZATO Luca,IT
36,marlon-gaillard,GAILLARD Marlon,FR
47,jannik-steimle,STEIMLE Jannik,DE
52,victor-lafay,LAFAY Victor,FR
74,albert-torres,TORRES Albert,ES
87,charlie-quarterman,QUARTERMAN Charlie,GB
91,hernando-bohorquez,BOHÓRQUEZ Hernando,CO
95,biniam-girmay,GIRMAY Biniam,ER
97,sebastian-mora-vedri,MORA Sebastián,ES
98,kevin-inkelaar,INKELAAR Kevin,NL
99,inigo-elosegui,ELOSEGUI Iñigo,ES
119,jeremy-cabot,CABOT Jérémy,FR
132,felix-gall,GALL Felix,AT
134,ilan-van-wilder,VAN WILDER Ilan,BE
140,sergio-samitier,SAMITIER Sergio,ES
32,laurens-huys,HUYS Laurens,BE
34,ben-tulett,TULETT Ben,GB
71,valentin-ferron,FERRON Valentin,FR
83,mauri-vansevenant,VANSEVENANT Mauri,BE
88,mark-donovan,DONOVAN Mark,GB
92,julian-mertens,MERTENS Julian,BE
98,thymen-arensman,ARENSMAN Thymen,NL
115,stephen-williams,WILLIAMS Stephen,GB
126,eddy-fine,FINÉ Eddy,FR
139,lindsay-de-vylder,DE VYLDER Lindsay,BE
140,ian-garrison,GARRISON Ian,US
147,barnabas-peak,PEÁK Barnabás,HU
148,cristian-munoz,MUÑOZ Cristian Camilo,CO
149,andres-camilo-ardila,ARDILA Andrés Camilo,CO
121,patrick-schelling,SCHELLING Patrick,CH
26,tim-merlier,MERLIER Tim,BE
34,jake-stewart,STEWART Jake,GB
108,kaden-groves,GROVES Kaden,AU
142,jonas-castrique,CASTRIQUE Jonas,BE
157,itamar-einhorn,EINHORN Itamar,IL
66,fabio-van-den-bossche,VAN DEN BOSSCHE Fabio,BE
82,florian-maitre,MAITRE Florian,FR
87,luc-wirtgen,WIRTGEN Luc,LU
115,alexander-krieger,KRIEGER Alexander,DE
164,stefan-bissegger,BISSEGGER Stefan,CH
44,tobias-kongstad,KONGSTAD Tobias,DK
47,carlos-rodriguez-cano,RODRÍGUEZ Carlos,ES
61,matis-louvel,LOUVEL Matis,FR
63,donavan-grondin,GRONDIN Donavan,FR
99,arvid-de-kleijn,DE KLEIJN Arvid,NL
102,lucas-eriksson,ERIKSSON Lucas,SE
103,piotr-havik,HAVIK Piotr,NL
112,kenny-de-ketele,DE KETELE Kenny,BE
54,thomas-pidcock,PIDCOCK Thomas,GB
76,andre-carvalho,CARVALHO Andre,PT
78,andreas-kron,KRON Andreas,DK
88,olav-kooij,KOOIJ Olav,NL
93,mathias-norsgaard,NORSGAARD Mathias,DK
118,alex-colman,COLMAN Alex,BE
122,yevgeniy-fedorov,FEDOROV Yevgeniy,KZ
148,jakob-egholm,EGHOLM Jakob,DK
150,emil-vinjebo,VINJEBO Emil Mielke,DK
154,niklas-markl,MÄRKL Niklas,DE
10,simon-carr,CARR Simon,GB
40,mauro-schmid,SCHMID Mauro,CH
45,tobias-foss,FOSS Tobias,NO
54,giovanni-aleotti,ALEOTTI Giovanni,IT
69,ben-zwiehoff,ZWIEHOFF Ben,DE
70,abner-gonzalez-rivera,GONZÁLEZ Abner,PR
80,filippo-conca,CONCA Filippo,IT
81,thomas-champion,CHAMPION Thomas,FR
99,erik-fetter,FETTER Erik,HU
100,davide-bais,BAIS Davide,IT
101,andrea-di-renzo,DI RENZO Andrea,IT
107,samuele-zoccarato,ZOCCARATO Samuele,IT
110,kevin-vermaerke,VERMAERKE Kevin,US
119,filippo-tagliani,TAGLIANI Filippo,IT
122,davide-orrico,ORRICO Davide,IT
123,mattia-bevilacqua,BEVILACQUA Mattia,IT
127,alexis-renard,RENARD Alexis,FR
130,jefferson-alexander-cepeda,CEPEDA Jefferson Alexander,EC
134,diego-pablo-sevilla,SEVILLA Diego Pablo,ES
135,sergio-garcia-gonzalez,GARCÍA Sergio,ES
136,arturo-gravalos-lopez,GRÁVALOS Arturo,ES
137,daniel-viegas,VIEGAS Daniel,PT
139,thibault-guernalec,GUERNALEC Thibault,FR
143,simone-bevilacqua,BEVILACQUA Simone,IT
144,alessandro-iacchi,IACCHI Alessandro,IT
145,jan-petelin,PETELIN Jan,LU
151,karel-vacek,VACEK Karel,CZ
174,samuele-rivi,RIVI Samuele,IT
82,andrii-ponomar,PONOMAR Andrii,UA
92,cesare-benedetti,BENEDETTI Cesare,PL
161,clement-davy,DAVY Clément,FR
20,arne-marit,MARIT Arne,BE
26,david-dekker,DEKKER David,NL
37,anthony-jullien,JULLIEN Anthony,FR
57,jens-reynders,REYNDERS Jens,BE
83,ruben-apers,APERS Ruben,BE
84,leonardo-tortomasi,TORTOMASI Leonardo,IT
90,erik-nordsaeter-resell,RESELL Erik Nordsæter,NO
92,matteo-pelucchi,PELUCCHI Matteo,IT
94,laurenz-rex,REX Laurenz,BE
102,jonathan-milan,MILAN Jonathan,IT
104,joab-schneiter,SCHNEITER Joab,CH
109,sebastien-grignard,GRIGNARD Sébastien,BE
123,syver-waersted,WÆRSTED Syver,NO
131,andreas-leknessund,LEKNESSUND Andreas,NO
156,martin-salmon,SALMON Martin,DE
159,wout-van-elzakker,VAN ELZAKKER Wout,NL
163,frederik-rodenberg,RODENBERG Frederik,DK
164,anders-skaarseth,SKAARSETH Anders,NO
171,niklas-larsen,LARSEN Niklas,DK
153,daniel-arroyave-canas,ARROYAVE Daniel,CO
154,jordi-meeus,MEEUS Jordi,BE
157,ward-vanhoof,VANHOOF Ward,BE
153,tom-paquot,PAQUOT Tom,BE
18,markus-hoelgaard,HOELGAARD Markus,NO
67,jonas-abrahamsen,ABRAHAMSEN Jonas,NO
87,jonas-iversby-hvideberg,HVIDEBERG Jonas Iversby,NO
117,rune-herregodts,HERREGODTS Rune,BE
119,martin-urianstad,URIANSTAD Martin,NO
150,iver-skaarseth,SKAARSETH Iver,NO
166,sylvain-moniquet,MONIQUET Sylvain,BE
23,marco-brenner,BRENNER Marco,DE
141,remy-rochas,ROCHAS Rémy,FR
11,maxim-van-gils,VAN GILS Maxim,BE
17,juan-ayuso-pesquera,AYUSO Juan,ES
40,roger-adria,ADRIÀ Roger,ES
44,urko-berrade-fernandez,BERRADE Urko,ES
61,jon-agirre,AGIRRE Jon,ES
62,jose-felix-parra,PARRA José Félix,ES
66,ibai-azurmendi-sagastibel,AZURMENDI Ibai,ES
71,kevin-colleoni,COLLEONI Kevin,IT
76,lars-van-den-berg,VAN DEN BERG Lars,NL
78,gotzon-martin,MARTÍN Gotzon,ES
81,sebastian-berwick,BERWICK Sebastian,AU
82,oier-lazkano,LAZKANO Oier,ES
84,victor-langellotti,LANGELLOTTI Victor,MC
91,yuriy-natarov,NATAROV Yuriy,KZ
94,javier-romo,ROMO Javier,ES
95,jokin-murguialday-elorza,MURGUIALDAY Jokin,ES
108,pelayo-sanchez-mayo,SÁNCHEZ Pelayo,ES
110,alex-molenaar,MOLENAAR Alex,NL
111,oscar-cabedo,CABEDO Óscar,ES
113,jon-barrenetxea-golzarri,BARRENETXEA Jon,ES
134,connor-brown2,BROWN Connor,NZ
160,xandres-vervloesem,VERVLOESEM Xandres,BE
169,xabier-mikel-azparren-irurzun,AZPARREN Xabier Mikel,ES
172,savva-novikov,NOVIKOV Savva,RU
173,jordi-lopez-caravaca,LÓPEZ Jordi,ES
174,raul-garcia-pierna,GARCÍA PIERNA Raúl,ES
27,thibault-ferasse,FERASSE Thibault,FR
40,mattias-skjelmose-jensen,SKJELMOSE Mattias,DK
44,juan-antonio-lopez-cozar-jaimez,LÓPEZ-CÓZAR Juan Antonio,ES
62,manuel-penalver,PEÑALVER Manuel,ES
63,paniego-fuentes,FUENTES Ángel,ES
68,jeremy-bellicaud,BELLICAUD Jeremy,FR
69,alexandre-delettre,DELETTRE Alexandre,FR
88,gijs-leemreize,LEEMREIZE Gijs,NL
91,isaac-canton,CANTÓN Isaac,ES
94,mario-aparicio-munoz,APARICIO Mario,ES
101,gabriel-muller,MULLER Gabriel,FR
120,antonio-tiberi,TIBERI Antonio,IT
135,frederik-wandahl,WANDAHL Frederik,DK
138,brandon-smith-rivera-vargas,RIVERA Brandon Smith,CO
24,clement-berthet,BERTHET Clément,FR
40,morten-hulgaard,HULGAARD Morten,DK
51,nicolas-prodhomme,PRODHOMME Nicolas,FR
68,christian-scaroni,SCARONI Christian,IT
80,torstein-traeen,TRÆEN Torstein,NO
83,alexandar-richardson,RICHARDSON Alexandar,GB
92,tobias-bayer,BAYER Tobias,AT
109,jacob-hindsgaul-madsen,HINDSGAUL Jacob,DK
110,sander-de-pestel,DE PESTEL Sander,BE
139,gleb-brussenskiy,BRUSSENSKIY Gleb,KZ
164,pierre-barbier,BARBIER Pierre,FR
165,dusan-rajovic,RAJOVIĆ Dušan,RS
104,alessandro-monaco,MONACO Alessandro,IT
168,diego-andres-camargo,CAMARGO Diego Andrés,CO
27,fredrik-dversnes,DVERSNES Fredrik,NO
47,kevin-vauquelin,VAUQUELIN Kévin,FR
55,tobias-halland-johannessen,JOHANNESSEN Tobias Halland,NO
58,ben-turner,TURNER Ben,GB
74,ben-healy,HEALY Ben,IE
77,lewis-askey,ASKEY Lewis,GB
87,louis-blouwe,BLOUWE Louis,BE
100,daan-hoole,HOOLE Daan,NL
107,magnus-sheffield,SHEFFIELD Magnus,US
108,jan-maas,MAAS Jan,NL
125,maurice-ballerstedt,BALLERSTEDT Maurice,DE
146,marius-mayrhofer,MAYRHOFER Marius,DE
148,leon-heinschke,HEINSCHKE Leon,DE
152,michele-gazzoli,GAZZOLI Michele,IT
160,corbin-strong,STRONG Corbin,NZ
31,edoardo-zambanini,ZAMBANINI Edoardo,IT
49,milan-vader,VADER Milan,NL
86,marijn-van-den-berg,VAN DEN BERG Marijn,NL
133,taj-jones,JONES Taj,AU
137,gabriele-benedetti,BENEDETTI Gabriele,IT
138,johnatan-canaveral,CAÑAVERAL Johnatan,CO
140,alex-tolio,TOLIO Alex,IT
146,marton-dina,DINA Márton,HU
148,alejandro-osorio-carbajal,OSORIO Alejandro,CO
119,omar-el-gouzi,EL GOUZI Omar,IT
141,ricardo-alejandro-zurita,ZURITA Ricardo Alejandro,ES
164,didier-merchan,MERCHAN Didier,CO
7,arnaud-de-lie,DE LIE Arnaud,BE
18,soren-waerenskjold,WÆRENSKJOLD Søren,NO
29,milan-fretin,FRETIN Milan,BE
34,sam-welsford,WELSFORD Sam,AU
43,sandy-dujardin,DUJARDIN Sandy,FR
53,campbell-stewart,STEWART Campbell,NZ
56,markus-pajur,PAJUR Markus,EE
61,felix-gros,GROß Felix,DE
63,filip-maciejuk,MACIEJUK Filip,PL
80,julius-johansen,JOHANSEN Julius,DK
84,enrico-zanoncello,ZANONCELLO Enrico,IT
99,karl-patrick-lauk,LAUK Karl Patrick,EE
108,jules-hesters,HESTERS Jules,BE
114,kelland-brien,O'BRIEN Kelland,AU
120,jon-aberasturi,ABERASTURI Jon,ES
121,luca-colnaghi,COLNAGHI Luca,IT
127,tuur-dens,DENS Tuur,BE
145,lars-saugstad,SAUGSTAD Lars,NO
156,tim-van-dijke,VAN DIJKE Tim,NL
161,william-blume-levy,BLUME LEVY William,DK
84,antoine-raugel,RAUGEL Antoine,FR
102,vito-braet,BRAET Vito,BE
40,victor-koretzky,KORETZKY Victor,FR
104,mick-van-dijke,VAN DIJKE Mick,NL
140,tord-gudmestad,GUDMESTAD Tord,NO
143,kim-heiduk,HEIDUK Kim,DE
54,stan-van-tricht,VAN TRICHT Stan,BE
61,jenno-berckmoes,BERCKMOES Jenno,BE
77,cian-uijtdebroeks,UIJTDEBROEKS Cian,BE
97,filippo-baroncini,BARONCINI Filippo,IT
106,johan-meens,MEENS Johan,BE
125,vinicius-rangel-costa,RANGEL Vinicius,BR
132,alexandre-balmer,BALMER Alexandre,CH
137,finn-fisher-black,FISHER-BLACK Finn,NZ
161,luca-rastelli,RASTELLI Luca,IT
166,alan-boileau,BOILEAU Alan,FR
118,bas-tietema,TIETEMA Bas,NL
164,johan-price-pejtersen,PRICE-PEJTERSEN Johan,DK
26,kamiel-bonneu,BONNEU Kamiel,BE
87,axel-zingle,ZINGLE Axel,FR
90,alan-jousseaume,JOUSSEAUME Alan,FR
93,henri-vandenabeele,VANDENABEELE Henri,BE
94,viktor-verschaeve,VERSCHAEVE Viktor,BE
133,michel-hessmann,HESSMANN Michel,DE
137,paul-lapeira,LAPEIRA Paul,FR
138,jesus-david-pena-jimenez,PEÑA Jesús David,CO
152,torjus-sleen,SLEEN Torjus,NO
153,idar-andersen,ANDERSEN Idar,NO
62,pau-miquel-delgado,MIQUEL Pau,ES
83,jay-vine,VINE Jay,AU
87,eugenio-sanchez,SÁNCHEZ Eugenio,ES
101,ibon-ruiz,RUIZ Ibon,ES
113,danny-van-der-tuuk,VAN DER TUUK Danny,NL
114,anders-halland-johannessen,JOHANNESSEN Anders Halland,NO
115,francisco-galvan,GALVÁN Francisco,ES
91,oscar-pelegri,PELEGRÍ Óscar,ES
99,ceriel-desal,DESAL Ceriel,BE
100,felipe-orts,ORTS Felipe,ES
125,quentin-venner,VENNER Quentin,BE
1,pavel-sivakov,SIVAKOV Pavel,FR
50,antonio-angulo,ANGULO Antonio,ES
51,ander-okamika,OKAMIKA Ander,ES
53,vadim-pronskiy,PRONSKIY Vadim,KZ
58,adria-moreno,MORENO Adrià,ES
68,orluis-aular,AULAR Orluis,VE
70,jhojan-garcia,GARCÍA Jhojan,CO
148,unai-iribar-jauregi,IRIBAR Unai,ES
151,txomin-juaristi,JUARISTI Txomin,ES
152,igor-arrieta-lizarraga,ARRIETA Igor,ES
53,asbjorn-hellemose,HELLEMOSE Asbjørn,DK
60,pavel-bittner,BITTNER Pavel,CZ
115,matevz-govekar,GOVEKAR Matevž,SI
123,marc-brustenga-masague,BRUSTENGA Marc,ES
1,axel-laurance,LAURANCE Axel,FR
9,andrea-piccolo,PICCOLO Andrea,IT
58,hugo-page,PAGE Hugo,FR
150,valentin-retailleau,RETAILLEAU Valentin,FR
48,louis-barre,BARRÉ Louis,FR
98,hugo-toumire,TOUMIRE Hugo,FR
122,carson-miles,MILES Carson,CA
125,thomas-schellenberg,SCHELLENBERG Thomas,CA
134,quentin-cowan,COWAN Quentin,CA
141,nicolas-cote,CÔTÉ Nicolas,CA
146,nicolas-rivard,RIVARD Nicolas,CA
54,alessandro-fancellu,FANCELLU Alessandro,IT
87,santiago-umba,UMBA Santiago,CO
119,natnael-tesfatsion,TESFATSION Natnael,ER
131,sean-quinn,QUINN Sean,US
144,sergio-martin,MARTÍN Sergio Roman,ES
159,henok-mulubrhan,MULUBRHAN Henok,ER
7,steele-von-hoff,VON HOFF Steele,AU
19,anthony-giacoppo,GIACOPPO Anthony,AU
29,patrick-shaw,SHAW Patrick,AU
33,adam-phelan,PHELAN Adam,AU
63,samuel-spokes,SPOKES Samuel,AU
106,patrick-lane,LANE Patrick,AU
107,sean-lake,LAKE Sean,AU
109,carter-jones,JONES Carter,US
126,graeme-brown,BROWN Graeme Allen,AU
135,cheng-ji,JI Cheng,CN
136,marcel-aregger,AREGGER Marcel,CH
7,tejay-van-garderen,VAN GARDEREN Tejay,US
45,michele-scarponi,SCARPONI Michele,IT
169,domingos-goncalves,GONÇALVES Domingos,PT
174,ricardo-vilela,VILELA Ricardo,PT
84,antonio-molina,MOLINA Antonio,ES
114,karel-hnik,HNÍK Karel,CZ
115,pierre-henri-lecuisinier,LECUISINIER Pierre-Henri,FR
134,marcin-mrosek,MROŻEK Marcin,PL
149,sylwester-szmyd,SZMYD Sylwester,PL
164,adam-stachowiak,STACHOWIAK Adam,PL
170,boris-dron,DRON Boris,BE
184,javier-aramendia,ARAMENDIA Javier,ES
188,sebastien-chavanel,CHAVANEL Sébastien,FR
132,miguel-angel-benito,BENITO Miguel Ángel,ES
74,alex-peters,PETERS Alex,GB
101,roland-thalmann,THALMANN Roland,CH
110,bruno-manuel-silva-pires,PIRES Bruno,PT
132,nico-brungger,BRÜNGGER Nico,CH
144,valentin-baillifard,BAILLIFARD Valentin,CH
151,matthias-krizek,KRIZEK Matthias,AT
153,martin-kohler,KOHLER Martin,CH
57,alexander-serov,SEROV Alexander,RU
82,artem-ovechkin,OVECHKIN Artem,RU
120,colin-stussi,STÜSSI Colin,CH
158,lukas-jaun,JAUN Lukas,CH
172,alessandro-vanotti,VANOTTI Alessandro,IT
174,michal-podlaski,PODLASKI Michał,PL
26,chris-opie,OPIE Chris,GB
29,kamil-zielinski,ZIELIńSKI Kamil,PL
46,marek-rutkiewicz,RUTKIEWICZ Marek,PL
66,piotr-konwa,KONWA Piotr,PL
73,karol-domagalski,DOMAGALSKI Karol,PL
114,james-oram,ORAM James,NZ
117,yanto-barker,BARKER Yanto,GB
136,lukasz-bodnar,BODNAR Łukasz,PL
137,peter-williams-1,WILLIAMS Peter,GB
140,gracjan-szelag,SZELAG Gracjan,PL
141,artur-detko,DETKO Artur,PL
144,dariusz-batek,BATEK Dariusz,PL
148,stephen-clancy,CLANCY Stephen,IE
151,marcin-bialoblocki,BIAŁOBŁOCKI Marcin,PL
164,matthew-goss,GOSS Matthew,AU
190,szymon-rekita,REKITA Szymon,PL
199,nicolas-lefrancois,LEFRANCOIS Nicolas,FR
71,samuel-jenner,JENNER Samuel,AU
39,quentin-valognes,VALOGNES Quentin,FR
175,romain-gioux,GIOUX Romain,FR
33,caio-godoy-ormenese,ORMENESE Caio Godoy,BR
68,juan-felipe-osorio,OSORIO Juan Felipe,CO
72,anass-ait-el-abdia,AÏT EL ABDIA Anass,MA
113,aldemar-reyes-ortega,REYES Aldemar,CO
114,antonio-piedra,PIEDRA Antonio,ES
118,hernan-aguirre,AGUIRRE Hernán Ricardo,CO
166,magno-prado,NAZARET Magno,BR
167,murilo-ferraz-affonso,AFFONSO Murilo,BR
193,pedro-autran-dourado-dutra-nicacio,NICÁCIO Pedro,BR
195,gabriel-machado-silva,MACHADO SILVA Gabriel,BR
196,flavio-cardoso,SANTOS Flavio Cardoso,BR
197,raphael-pires,PIRES Raphael,BR
22,ulises-alfredo-castillo,CASTILLO Ulises Alfredo,MX
46,danny-pate,PATE Danny,US
60,daniel-eaton,EATON Daniel,US
72,joshua-berry,BERRY Joshua,US
83,evan-huffman,HUFFMAN Evan,US
91,daniel-alexander-jaramillo-diez,JARAMILLO Daniel,CO
93,taylor-shelden,SHELDEN Taylor,US
104,jacob-rathe,RATHE Jacob,US
113,ben-wolfe,WOLFE Ben,US
115,eric-young,YOUNG Eric,US
12,alan-banaszek,BANASZEK Alan,PL
113,emanuel-piaskowy,PIASKOWY Emanuel,PL
172,bernardo-suaza,SUAZA Bernardo,CO
173,fernando-orjuela,ORJUELA Fernando,CO
29,nazim-bakirci,BAKIRCI Nazim,TR
31,serkan-balkan,BALKAN Serkan,TR
46,lincoln-do-vale,SILVA Lincoln Do Vale,BR
54,danilo-celano,CELANO Danilo,IT
60,onur-balkan,BALKAN Onur,TR
61,chris-butler,BUTLER Chris,US
74,victor-ranghetti,RANGHETTI Victor,BR
77,muhammed-atalay,ATALAY Muhammed,TR
82,ferit-samli,ŞAMLI Feritcan,TR
83,ahmet-orken,ÖRKEN Ahmet,TR
86,batuhan-ozgur,ÖZGÜR Batuhan,TR
91,ahmet-akdilek,AKDILEK Ahmet,TR
100,roberto-pinheiro-silva,SILVA Roberto Pinheiro,BR
34,nicolas-marini,MARINI Nicolas,IT
100,masakazu-ito,ITO Masakazu,JP
103,timothy-roe,ROE Timothy,AU
6,michael-bresciani,BRESCIANI Michael,IT
103,fabio-andres-duarte,DUARTE Fabio,CO
131,wilmar-paredes,PAREDES Wilmar,CO
143,joaquim-silva,SILVA Joaquim,PT
148,igor-merino,MERINO Igor,ES
137,aitor-gonzalez-prieto,GONZÁLEZ PRIETO Aitor,ES
142,ibai-salas,SALAS Ibai,ES
8,ty-magner,MAGNER Ty,US
13,john-murphy,MURPHY John,US
62,lucas-sebastian-haedo,HAEDO Lucas Sebastián,AR
67,miguel-bryon,BRYON Miguel,US
68,taylor-eisenhart,EISENHART Taylor,US
103,ruben-companioni,COMPANIONI Rubén,CU
108,andrei-krasilnikau,KRASILNIKAU Andrei,BY
109,brendan-rhim,RHIM Brendan,US
110,michael-rice,RICE Michael,AU
152,julian-cardona-tabares,CARDONA Julián,CO
52,benat-txoperena,TXOPERENA Beñat,ES
92,mustafa-sayar,SAYAR Mustafa,TR
106,yecid-sierra,SIERRA Yecid,CO
29,neil-van-der-ploeg,VAN DER PLOEG Neil,AU
80,jason-lea,LEA Jason,AU
112,michael-potter,POTTER Michael,AU
44,declan-irvine,IRVINE Declan,AU
59,mehdi-benhamouda,BENHAMOUDA Mehdi,FR
138,alvaro-cuadros,CUADROS Álvaro,ES
67,carlos-quintero,QUINTERO Carlos,CO
147,nicolas-saenz,SAENZ Nicolas,CO
150,david-gonzalez-lopez,GONZÁLEZ David,ES
13,jordan-parra,PARRA Jordan,CO
15,bryan-gomez,GÓMEZ Bryan Steve,CO
16,jose-daniel-viejo,VIEJO José Daniel,ES
18,jaume-sureda,SUREDA Jaume,ES
22,luis-carlos-chia-bermudez,CHIA Luis Carlos,CO
