start,end,cat,name,race_id
12/04/2022,,NCT5,National Championships Qatar (Lusail) I.T.T.,40127
12/04/2022,15/04/2022,2.1,Giro di Sicilia,39629
13/04/2022,,1.PS,Brabantse Pijl,39697
13/04/2022,17/04/2022,2.2,Tour du Loir et Cher,39635
13/04/2022,17/04/2022,2.1,Beograd - Banja Luka,39640
15/04/2022,,NCT4,National Championships Argentina (Albardon) I.T.T.,39417
15/04/2022,,1.1,Classic Grand Besançon Doubs,40114
16/04/2022,,1.1,Tour du Jura,39699
16/04/2022,,1.2,Arno Wallaard Memorial,39700
16/04/2022,,1.2U,Liège - Bastogne - Liège Espoirs,39701
17/04/2022,,NC4,National Championships Argentina (Albardon) R.R.,39418
17/04/2022,,1.WT1,Paris - Roubaix,39702
18/04/2022,,1.2U,Giro del Belvedere di Villa di Cordignano,39703
18/04/2022,22/04/2022,2.PS,Tour of the Alps,39646
19/04/2022,,1.2U,GP Palio del Recioto,39704
20/04/2022,,1.WT2,Flèche Wallonne,39705
24/04/2022,,1.2,Rutland - Melton Classic,39706
24/04/2022,,1.WT1,Liège - Bastogne - Liège,39708
25/04/2022,,1.2U,GP della Liberazione,39709
25/04/2022,1/05/2022,2.2,Tour de Bretagne,39654
26/04/2022,1/05/2022,2.WT1,Tour de Romandie,39666
27/04/2022,1/05/2022,2.1,Tour of Hellas,39673
27/04/2022,1/05/2022,2.2,Tour of the Gila,39679
29/04/2022,,1.2,GP Nasielsk-Serock,39710
29/04/2022,1/05/2022,2.1,Vuelta a Asturias,39683
29/04/2022,3/05/2022,2.2U,Carpathian Couriers Race,39687
30/04/2022,,1.2,Zuidenveld Tour,39711
30/04/2022,,1.2,GP Wyszkow,39712
1/05/2022,,1.2U,Rund um den Finanzplatz Eschborn - Frankfurt u23,39713
1/05/2022,,1.WT3,Rund um den Finanzplatz Eschborn - Frankfurt,39714
1/05/2022,,1.2,Circuito del Porto - Trofeo Arvedi,39716
3/05/2022,8/05/2022,2.PS,4 Jours de Dunkerque,39752
3/05/2022,8/05/2022,2.2,Tour du Benin,40148
4/05/2022,,NCT5,National Championships Cyprus (Perivolia) I.T.T.,40133
6/05/2022,,NCT4,National Championships Panama (Chiriqui) I.T.T.,40135
6/05/2022,29/05/2022,GT2,Giro d'Italia,39778
7/05/2022,,1.2,Sundvolden GP,39717
7/05/2022,,1.2,Ronde van Overijssel,39718
8/05/2022,,1.2,Flèche Ardennaise,39719
8/05/2022,,1.2,Ringerike GP,39720
8/05/2022,,1.2U,GP Industrie del Marmo,39721
8/05/2022,,NC5,National Championships Cyprus (Analiontas) R.R.,40134
8/05/2022,,NC4,National Championships Panama (Chiriqui) R.R.,40136
11/05/2022,15/05/2022,2.1,Tour de Hongrie,39786
12/05/2022,,CCT2,Pan-American Championships (San Juan) I.T.T.,40138
14/05/2022,,1.PS,GP du Morbihan,39722
15/05/2022,,1.PS,Tro-Bro Léon,39723
15/05/2022,,1.2U,Paris - Roubaix Espoirs,39724
15/05/2022,,CC2,Pan-American Championships (San Juan) R.R.,40137
19/05/2022,22/05/2022,2.2,Tour of Japan,39795
19/05/2022,22/05/2022,2.2,Joe Martin Stage Race,39808
19/05/2022,22/05/2022,2.2,Tour of Limpopo,39813
20/05/2022,,XX,Southeast Asian Games (Hoa Binh) I.T.T.,40140
20/05/2022,22/05/2022,2.2,Sri Lanka T-Cup,39817
21/05/2022,,1.2,GP Herning,39725
21/05/2022,,1.1,Veenendaal - Veenendaal Classic,39726
21/05/2022,,1.1,Tour du Finistère,39727
21/05/2022,,XX,Southeast Asian Games (Hoa Binh) R.R.,40139
22/05/2022,,1.1,Rund um Köln,39728
22/05/2022,,1.2,Fyn Rundt,39729
22/05/2022,,1.1,Boucles de l'Aulne - Châteaulin,39730
22/05/2022,,1.2,GP Gorenjska,39732
22/05/2022,,1.1,Antwerp Port Epic,40141
24/05/2022,29/05/2022,2.PS,Tour of Norway,39829
25/05/2022,29/05/2022,2.2,Flèche du Sud,39835
25/05/2022,29/05/2022,2.2,Alpes Isère Tour,39841
26/05/2022,,1.1,Circuit de Wallonie,39733
26/05/2022,28/05/2022,2.1,Tour of Estonia,39848
26/05/2022,29/05/2022,2.2,Tour de la Mirabelle,39853
26/05/2022,29/05/2022,2.PS,Boucles de la Mayenne,39858
27/05/2022,29/05/2022,2.2,Tour de Kumano,39862
28/05/2022,,1.2U,Strade Bianche di Romagna,40189
29/05/2022,,1.2U,Coppa della Pace - Trofeo Fratelli Anelli,39736
29/05/2022,,1.1,Marcel Kint Classic,39737
29/05/2022,,NC5,National Championships Togo (Lomé) R.R.,40546
31/05/2022,,1.1,Mercan'Tour Classic Alpes-Maritimes,39739
31/05/2022,4/06/2022,2.2,Tour of Albania,40177
2/06/2022,,1.2,Trofeo Alcide DeGasperi,40149
2/06/2022,,1.1,Giro dell'Appennino,40150
2/06/2022,5/06/2022,2.2,Ronde de l'Oise,39870
2/06/2022,5/06/2022,2.NC,Course de la Paix U23 - GP Jeseniky,39875
