race_name,year,stage_race,race_url
amstel-gold-race,2019,False,race/amstel-gold-race/2019
la-fleche-wallone,2019,False,race/la-fleche-wallone/2019
liege-bastogne-liege,2019,False,race/liege-bastogne-liege/2019
tour-de-romandie,2019,True,race/tour-de-romandie/2019
eschborn-frankfurt,2019,False,race/eschborn-frankfurt/2019
giro-d-italia,2019,True,race/giro-d-italia/2019
tour-of-california,2019,True,race/tour-of-california/2019
dauphine,2019,True,race/dauphine/2019
tour-de-suisse,2019,True,race/tour-de-suisse/2019
tour-de-france,2019,True,race/tour-de-france/2019
san-sebastian,2019,False,race/san-sebastian/2019
tour-de-pologne,2019,True,race/tour-de-pologne/2019
ride-london-classic,2019,False,race/ride-london-classic/2019
benelux-tour,2019,True,race/benelux-tour/2019
vuelta-a-espana,2019,True,race/vuelta-a-espana/2019
cyclassics-hamburg,2019,False,race/cyclassics-hamburg/2019
bretagne-classic,2019,False,race/bretagne-classic/2019
gp-quebec,2019,False,race/gp-quebec/2019
gp-montreal,2019,False,race/gp-montreal/2019
il-lombardia,2019,False,race/il-lombardia/2019
tour-of-guangxi,2019,True,race/tour-of-guangxi/2019
tour-down-under,2020,True,race/tour-down-under/2020
great-ocean-race,2020,False,race/great-ocean-race/2020
uae-tour,2020,True,race/uae-tour/2020
omloop-het-nieuwsblad,2020,False,race/omloop-het-nieuwsblad/2020
paris-nice,2020,True,race/paris-nice/2020
e3-harelbeke,2020,False,race/e3-harelbeke/2020
itzulia-basque-country,2020,True,race/itzulia-basque-country/2020
tour-de-romandie,2020,True,race/tour-de-romandie/2020
eschborn-frankfurt,2020,False,race/eschborn-frankfurt/2020
tour-de-suisse,2020,True,race/tour-de-suisse/2020
san-sebastian,2020,False,race/san-sebastian/2020
strade-bianche,2020,False,race/strade-bianche/2020
tour-de-pologne,2020,True,race/tour-de-pologne/2020
milano-sanremo,2020,False,race/milano-sanremo/2020
dauphine,2020,True,race/dauphine/2020
il-lombardia,2020,False,race/il-lombardia/2020
ride-london-classic,2020,False,race/ride-london-classic/2020
bretagne-classic,2020,False,race/bretagne-classic/2020
tour-de-france,2020,True,race/tour-de-france/2020
tirreno-adriatico,2020,True,race/tirreno-adriatico/2020
gp-quebec,2020,False,race/gp-quebec/2020
gp-montreal,2020,False,race/gp-montreal/2020
benelux-tour,2020,True,race/benelux-tour/2020
la-fleche-wallone,2020,False,race/la-fleche-wallone/2020
cyclassics-hamburg,2020,False,race/cyclassics-hamburg/2020
giro-d-italia,2020,True,race/giro-d-italia/2020
liege-bastogne-liege,2020,False,race/liege-bastogne-liege/2020
amstel-gold-race,2020,False,race/amstel-gold-race/2020
gent-wevelgem,2020,False,race/gent-wevelgem/2020
dwars-door-vlaanderen,2020,False,race/dwars-door-vlaanderen/2020
ronde-van-vlaanderen,2020,False,race/ronde-van-vlaanderen/2020
vuelta-a-espana,2020,True,race/vuelta-a-espana/2020
oxyclean-classic-brugge-de-panne,2020,False,race/oxyclean-classic-brugge-de-panne/2020
paris-roubaix,2020,False,race/paris-roubaix/2020
tour-of-guangxi,2020,True,race/tour-of-guangxi/2020
tour-down-under,2021,True,race/tour-down-under/2021
great-ocean-race,2021,False,race/great-ocean-race/2021
uae-tour,2021,True,race/uae-tour/2021
omloop-het-nieuwsblad,2021,False,race/omloop-het-nieuwsblad/2021
strade-bianche,2021,False,race/strade-bianche/2021
paris-nice,2021,True,race/paris-nice/2021
tirreno-adriatico,2021,True,race/tirreno-adriatico/2021
milano-sanremo,2021,False,race/milano-sanremo/2021
volta-a-catalunya,2021,True,race/volta-a-catalunya/2021
oxyclean-classic-brugge-de-panne,2021,False,race/oxyclean-classic-brugge-de-panne/2021
e3-harelbeke,2021,False,race/e3-harelbeke/2021
gent-wevelgem,2021,False,race/gent-wevelgem/2021
