rank,rider,team,time,cq_points,race_id
29.0,GUGLIELMI Simon,ARK,"01'28""",0,39291
30.0,OWSIAN Lukasz,ARK,"01'36""",0,39291
31.0,BERRADE FERNANDEZ Urko,EKP,"01'39""",0,39291
1.0,DE LIE Arnaud,LTS,"3h54'23""",80,39293
2.0,MOLANO BENAVIDES Juan Sebastian,UAD,,48,39293
3.0,WEEMAES Sasha,SVB,,40,39293
4.0,HOFSTETTER Hugo,ARK,,36,39293
5.0,COLNAGHI Luca,BCF,,32,39293
6.0,MATTHEWS Michael,BEX,,28,39293
7.0,NIZZOLO Giacomo,IPT,,24,39293
8.0,FIORELLI Filippo,BCF,,20,39293
9.0,MOSCHETTI Matteo,TFS,,16,39293
10.0,WALSCHEID Maximilian,COF,,12,39293
11.0,PEÑALVER ANIORTE Manuel,BBH,,10,39293
12.0,JONES Taj,IPT,,9,39293
13.0,ALLEGAERT Piet,COF,,8,39293
14.0,KRISTOFF Alexander,IWG,,7,39293
15.0,GARCIA CORTINA Ivan,MOV,,6,39293
16.0,BURCHIO Federico,IWM,,5,39293
17.0,GIRMAY HAILU Biniam,IWG,,5,39293
18.0,LOUVEL Matis,ARK,,5,39293
19.0,VENCHIARUTTI Nicola,IWM,,5,39293
20.0,WALLS Matthew,BOH,,5,39293
21.0,PELEGRI FERRANDIS Oscar,BBH,,0,39293
22.0,SOTO GUIRAO Antonio Jesus,EUS,,0,39293
23.0,JAIME FERNANDEZ Alex,EKP,,0,39293
24.0,ACKERMANN Pascal,UAD,,0,39293
25.0,EZQUERRA MUELA Jesus,BBH,,0,39293
26.0,BARBIER Rudy,IPT,,0,39293
27.0,ZAMBELLI Samuele,IWM,,0,39293
28.0,HESTERS Jules,SVB,,0,39293
29.0,LIEPINS Emils,TFS,,0,39293
30.0,PASQUALON Andrea,IWG,"08""",0,39293
31.0,PETIT Adrien,IWG,"08""",0,39293
1.0,CAPIOT Amaury,ARK,"4h31'11""",80,39294
2.0,PEDERSEN Mads,TFS,,48,39294
3.0,GALVAN FERNANDEZ Francisco,EKP,,40,39294
4.0,BOASSON HAGEN Edvald,TEN,,36,39294
5.0,COSNEFROY Benoît,ACT,,32,39294
6.0,COQUARD Bryan,COF,,28,39294
7.0,ZIMMERMANN Georg,IWG,,24,39294
8.0,ULISSI Diego,UAD,,20,39294
9.0,COVI Alessandro,UAD,,16,39294
10.0,BETTIOL Alberto,EFE,,12,39294
