rank,rider,team,time,cq_points,race_id
1.0,COTE Pier-André,HPM,"4h15'30""",15,39428
2.0,GELDERS Gil,WBD,"03""",10,39428
3.0,WILLEMS Thimo,MCT,"03""",8,39428
4.0,ZUKOWSKY Nickolas,HPM,"12""",7,39428
5.0,JOYCE Colin,HPM,"12""",6,39428
6.0,TENE Rotem,ICA,"01'01""",5,39428
7.0,CLE Brent,-,"01'01""",4,39428
8.0,VOLKAERT Jonas,-,"01'01""",3,39428
9.0,DORENBOS Yanne,-,"01'01""",2,39428
10.0,KAESEMANS Jasper,-,"01'01""",1,39428
11.0,GERITS Vince,-,"01'01""",0,39428
12.0,DEVOS Han,-,"01'01""",0,39428
13.0,VERHOEFF Stefan,-,"01'01""",0,39428
14.0,EISENBARTH Pirmin,-,"01'01""",0,39428
15.0,DE PAUW Len,-,"01'01""",0,39428
16.0,BAUGNIES Jérôme,-,"01'01""",0,39428
17.0,PAASSCHENS Mathijs,BWB,"01'01""",0,39428
18.0,LECLAINCHE Gwen,-,"01'01""",0,39428
19.0,DANIELS Simon,GDM,"01'01""",0,39428
20.0,GAUTHERAT Pierre,-,"01'01""",0,39428
1.0,MERLIER Tim,ADC,"4h45'41""",180,39429
2.0,GROENEWEGEN Dylan,BEX,,108,39429
3.0,BOUHANNI Nacer,ARK,,92,39429
4.0,WALSCHEID Maximilian,COF,,78,39429
5.0,KOOIJ Olav,TJV,,70,39429
6.0,DEMARE Arnaud,GFC,,62,39429
7.0,CONSONNI Simone,COF,,54,39429
8.0,DE LIE Arnaud,LTS,,46,39429
9.0,STUYVEN Jasper,TFS,,40,39429
10.0,HAUSSLER Heinrich,TBV,,36,39429
11.0,ANIOLKOWSKI Stanislaw,BWB,,30,39429
12.0,MØRKØV CHRISTENSEN Michael,QST,,27,39429
13.0,KANTER Max,MOV,,24,39429
14.0,DUPONT Timothy,BWB,,22,39429
15.0,MANZIN Lorrenzo,TEN,,20,39429
16.0,ZABEL Rick,IPT,,18,39429
17.0,BENNETT Sam,BOH,,16,39429
18.0,MAS BONET Lluis Guillermo,MOV,,14,39429
19.0,WAERENSKJOLD Søren,UXT,,12,39429
20.0,EINHORN Itamar,IPT,,11,39429
21.0,GIRMAY HAILU Biniam,IWG,,10,39429
22.0,VAN POPPEL Danny,BOH,,9,39429
23.0,MOZZATO Luca,BBK,,8,39429
24.0,VAN LERBERGHE Bert,QST,,7,39429
25.0,BARBIER Rudy,IPT,,6,39429
26.0,CAVENDISH Mark,QST,,5,39429
27.0,MARIT Arne,SVB,,5,39429
28.0,BJERG Mikkel,UAD,,5,39429
29.0,THIJSSEN Gerben,IWG,,5,39429
30.0,FRETIN Milan,SVB,,5,39429
31.0,VAN ROOY Kenneth,SVB,,5,39429
1.0,MIHOLJEVIC Fran,CTF,"3h32'30""",15,39430
2.0,ENGELHARDT Felix,TIR,,10,39430
3.0,RAPP Jonas,HAC,"10""",8,39430
4.0,RITZINGER Felix,WSA,"50""",7,39430
5.0,ZOBRIST Manuel,COR,"01'13""",6,39430
6.0,LODERER Timon,HAC,"01'17""",5,39430
7.0,BROZYNA Piotr,MSP,"01'17""",4,39430
8.0,CALZONI Walter,GAL,"01'17""",3,39430
9.0,STOCKWELL Oliver,CTF,"01'17""",2,39430
10.0,QUAEDVLIEG Lars,-,"01'17""",1,39430
11.0,REHA Filip,EKA,"01'17""",0,39430
12.0,BOROS Michael,EKA,"01'38""",0,39430
13.0,ZUMER Matic,-,"01'38""",0,39430
14.0,BUDZINSKI Marcin,MSP,"01'38""",0,39430
15.0,FINKST Tilen,ADR,"01'38""",0,39430
16.0,RAJOVIC Dusan,COR,"01'38""",0,39430
17.0,BAUCE Davide,GAL,"01'38""",0,39430
18.0,POTOCKI Viktor,LGS,"01'38""",0,39430
19.0,DEBIASI Andrea,CTF,"01'38""",0,39430
20.0,HOPKINS Dylan,LGS,"01'38""",0,39430
1.0,VAN AERT Wout,TJV,"4h38'04""",220,39431
2.0,LAPORTE Christophe,TJV,,132,39431
3.0,KÜNG Stefan,GFC,"01'35""",112,39431
4.0,MOHORIC Matej,TBV,"01'36""",96,39431
5.0,GIRMAY HAILU Biniam,IWG,"01'36""",86,39431
6.0,NARVAEZ PRADO Jhonatan Manuel,IGD,"01'36""",76,39431
7.0,MADOUAS Valentin,GFC,"01'36""",66,39431
8.0,VAN BAARLE Dylan,IGD,"01'36""",58,39431
9.0,BENOOT Tiesj,TJV,"01'36""",52,39431
10.0,ASGREEN Kasper,QST,"01'36""",46,39431
11.0,TILLER Rasmus Fossum,UXT,"03'30""",40,39431
12.0,TEUNISSEN Mike,TJV,"03'30""",35,39431
13.0,TURGIS Anthony,TEN,"03'30""",30,39431
14.0,GOGL Michael,ADC,"03'31""",27,39431
15.0,STUYVEN Jasper,TFS,"03'34""",24,39431
16.0,GARCIA CORTINA Ivan,MOV,"05'34""",21,39431
17.0,HALLER Marco,BOH,"05'34""",19,39431
18.0,VAN HOOYDONCK Nathan,TJV,"05'43""",18,39431
19.0,DE BONDT Dries,ADC,"05'43""",17,39431
20.0,VALGREN HUNDAHL (ANDERSEN) Michael,EFE,"05'44""",16,39431
21.0,NAESEN Oliver,ACT,"05'57""",15,39431
22.0,NIEUWENHUIS Joris,DSM,"05'57""",14,39431
23.0,LE GAC Olivier,GFC,"05'57""",13,39431
24.0,PEDERSEN Mads,TFS,"06'00""",12,39431
25.0,HAUSSLER Heinrich,TBV,"06'00""",11,39431
26.0,EDMONDSON Alexander,BEX,"06'00""",10,39431
27.0,TURNER Benjamin,IGD,"06'00""",9,39431
28.0,BEULLENS Cédric,LTS,"06'00""",8,39431
29.0,VERMEERSCH Gianni,ADC,"06'00""",7,39431
30.0,ARANBURU DEBA Alexander,MOV,"06'00""",6,39431
31.0,PASQUALON Andrea,IWG,"06'00""",5,39431
1.0,GIRMAY HAILU Biniam,IWG,"5h37'57""",220,39438
2.0,LAPORTE Christophe,TJV,,132,39438
3.0,VAN GESTEL Dries,TEN,,112,39438
4.0,STUYVEN Jasper,TFS,,96,39438
5.0,ANDERSEN Søren Kragh,DSM,"08""",86,39438
6.0,MERLIER Tim,ADC,"08""",76,39438
7.0,PEDERSEN Mads,TFS,"08""",66,39438
8.0,GARCIA CORTINA Ivan,MOV,"08""",58,39438
9.0,MOHORIC Matej,TBV,"08""",52,39438
10.0,DEMARE Arnaud,GFC,"08""",46,39438
11.0,KRISTOFF Alexander,IWG,"08""",40,39438
12.0,VAN AERT Wout,TJV,"08""",35,39438
13.0,MEZGEC Luka,BEX,"08""",30,39438
14.0,PASQUALON Andrea,IWG,"08""",27,39438
15.0,GHYS Robbe,SVB,"08""",24,39438
16.0,REX Laurenz,BWB,"08""",21,39438
17.0,VAN AVERMAET Greg,ACT,"08""",19,39438
18.0,LIVYNS Arjen,BWB,"08""",18,39438
19.0,VERMEERSCH Florian,LTS,"08""",17,39438
20.0,ALLEGAERT Piet,COF,"08""",16,39438
21.0,PHILIPSEN Jasper,ADC,"08""",15,39438
22.0,KOCH Jonas,BOH,"08""",14,39438
23.0,VAN DEN BERG Marijn,EFE,"08""",13,39438
24.0,CONSONNI Simone,COF,"08""",12,39438
25.0,ARANBURU DEBA Alexander,MOV,"08""",11,39438
26.0,TURGIS Anthony,TEN,"08""",10,39438
27.0,DEGENKOLB John,DSM,"08""",9,39438
28.0,TURNER Benjamin,IGD,"08""",8,39438
29.0,SKAARSETH Anders,UXT,"08""",7,39438
30.0,TILLER Rasmus Fossum,UXT,"08""",6,39438
31.0,BEULLENS Cédric,LTS,"08""",5,39438
1.0,PATERSKI Maciej,VOS,"4h35'07""",15,39439
2.0,DEBIASI Andrea,CTF,,10,39439
3.0,VENCHIARUTTI Nicola,IWM,,8,39439
4.0,POTOCKI Viktor,LGS,,7,39439
5.0,MORO Riccardo,-,,6,39439
6.0,BUDZINSKI Marcin,MSP,,5,39439
7.0,QUAEDVLIEG Lars,-,,4,39439
8.0,BROZYNA Piotr,MSP,,3,39439
9.0,PER David,ADR,,2,39439
10.0,ANDREEV Yordan,-,,1,39439
11.0,CIESLIK Pawel,VOS,"08""",0,39439
12.0,ROCCHETTA Cristian,ZEF,"08""",0,39439
13.0,BUDZINSKI Tomasz,MSP,"08""",0,39439
14.0,MURIAS Jakub,VOS,"08""",0,39439
15.0,DI FELICE Francesco,GAL,"08""",0,39439
16.0,SZOSTKA Pawel,SWT,"08""",0,39439
17.0,FINKST Tilen,ADR,"08""",0,39439
18.0,HALLER Patrick,SWT,"08""",0,39439
19.0,STRAVERS Jarri,-,"08""",0,39439
20.0,BALKAN Onur,SBB,"08""",0,39439
1.0,BOUHANNI Nacer,ARK,"4h39'03""",80,39440
2.0,COQUARD Bryan,COF,,48,39440
3.0,DUJARDIN Sandy,TEN,,40,39440
4.0,BOUDAT Thomas,GRL,,36,39440
5.0,WEEMAES Sasha,SVB,,32,39440
6.0,WELTEN Bram,GFC,,28,39440
7.0,VENTURINI Clément,ACT,,24,39440
8.0,MANZIN Lorrenzo,TEN,,20,39440
9.0,FROIDEVAUX Robin,TUD,,16,39440
10.0,MORIN Emmanuel,UNA,,12,39440
11.0,PAGE Hugo,IWG,,10,39440
12.0,PEAK Barnabas,IWG,,9,39440
13.0,BAUDIN Alex,TUD,,8,39440
14.0,THIJSSEN Gerben,IWG,,7,39440
15.0,MIFSUD Andréa,NMC,,6,39440
16.0,GUARNIERI Jacopo,GFC,,5,39440
17.0,FUENTES PANIEGO Angel,BBH,,5,39440
18.0,BAGÜES KALPARSORO Aritz,CJR,,5,39440
19.0,LEVEAU Jérémy,GRL,,5,39440
20.0,GUEGAN Maël,UNA,,5,39440
21.0,REYNDERS Jens,SVB,,0,39440
22.0,NAESEN Lawrence,ACT,,0,39440
23.0,MARTIN GALAN Sergio Roman,CJR,,0,39440
24.0,URRUTY Maxime,NMC,,0,39440
25.0,JOYCE Colin,HPM,,0,39440
26.0,PEREZ Anthony,COF,,0,39440
27.0,DANES Léo,UNA,,0,39440
28.0,VAUQUELIN Kévin,ARK,,0,39440
29.0,VLIEGEN Loïc,IWG,,0,39440
30.0,MAURELET Flavien,AUB,,0,39440
31.0,SOUPE Geoffrey,TEN,,0,39440
1.0,ULISSI Diego,UAD,"4h30'34""",130,39442
2.0,FEDELI Alessandro,-,,78,39442
3.0,MEURISSE Xandro,ADC,,66,39442
4.0,TESFATSION Natnael Ocbit,DRA,,58,39442
5.0,VENDRAME Andrea,ACT,,52,39442
6.0,BOUET Maxime,ARK,,46,39442
7.0,GALLOPIN Tony,TFS,,40,39442
8.0,TIBERI Antonio,TFS,,34,39442
9.0,HIRSCHI Marc,UAD,,28,39442
10.0,VERRE Alessandro,ARK,,24,39442
11.0,FETTER Erik,EOK,,20,39442
12.0,PESENTI Thomas,BTC,,18,39442
13.0,NIBALI Vincenzo,AST,,16,39442
14.0,EDET Nicolas,ARK,"08""",14,39442
15.0,WIRTGEN Luc,BWB,"01'12""",12,39442
16.0,LOPEZ GRANIZO Harold Martin,AST,"01'25""",10,39442
17.0,BRAMBILLA Gianluca,TFS,"01'25""",9,39442
18.0,DOUBLE Paul,MGK,"01'31""",8,39442
19.0,GARCIA PIERNA Carlos,EKP,"01'36""",7,39442
20.0,RAVASI Edward,EOK,"02'13""",6,39442
21.0,SCARONI Christian,-,"02'48""",5,39442
22.0,MURPHY Kyle,HPM,"02'48""",5,39442
23.0,COBO CAYON Ivan,EKP,"02'49""",5,39442
24.0,GARCIA GONZALEZ Sergio,EOK,"02'51""",5,39442
25.0,CEPEDA ORTIZ Jefferson Alexander,DRA,"02'58""",5,39442
26.0,MANNION Gavin,HPM,"04'08""",5,39442
27.0,CONCI Nicola,-,"06'18""",5,39442
28.0,HAGA Chad,HPM,"07'43""",5,39442
29.0,DE TIER Floris,ADC,"07'47""",5,39442
30.0,LOPEZ MORENO Juan Carlos,AST,"07'47""",5,39442
31.0,GAROSIO Andrea,BIE,"07'47""",0,39442
1.0,VAN DER POEL Mathieu,ADC,"4h05'39""",180,39446
2.0,BENOOT Tiesj,TJV,"01""",108,39446
3.0,PIDCOCK Thomas,IGD,"05""",92,39446
4.0,CAMPENAERTS Victor,LTS,"05""",78,39446
5.0,POLITT Nils,BOH,"05""",70,39446
6.0,KÜNG Stefan,GFC,"05""",62,39446
7.0,O'BRIEN Kelland,BEX,"05""",54,39446
8.0,TURNER Benjamin,IGD,"12""",46,39446
9.0,TRATNIK Jan,TBV,"02'08""",40,39446
10.0,POGACAR Tadej,UAD,"02'08""",36,39446
11.0,MADOUAS Valentin,GFC,"02'08""",30,39446
12.0,PASQUALON Andrea,IWG,"03'48""",27,39446
13.0,CAPIOT Amaury,ARK,"03'48""",24,39446
14.0,STEIMLE Jannik,QST,"03'48""",22,39446
15.0,SHEFFIELD Magnus,IGD,"03'48""",20,39446
16.0,VAN AVERMAET Greg,ACT,"03'48""",18,39446
17.0,ANDERSEN Søren Kragh,DSM,"03'48""",16,39446
18.0,LE GAC Olivier,GFC,"03'48""",14,39446
19.0,LOUVEL Matis,ARK,"03'48""",12,39446
20.0,GOUGEARD Alexis,BBK,"03'48""",11,39446
21.0,TERPSTRA Niki,TEN,"03'48""",10,39446
22.0,EENKHOORN Pascal,TJV,"03'48""",9,39446
23.0,COQUARD Bryan,COF,"03'48""",8,39446
24.0,JACOBS Johan,MOV,"03'48""",7,39446
25.0,WRIGHT Fred,TBV,"04'09""",6,39446
26.0,VERMEERSCH Gianni,ADC,"04'09""",5,39446
27.0,LAMPAERT Yves,QST,"04'09""",5,39446
28.0,TEUNISSEN Mike,TJV,"04'09""",5,39446
29.0,PHILIPSEN Jasper,ADC,"04'12""",5,39446
30.0,TRENTIN Matteo,UAD,"04'12""",5,39446
31.0,KRISTOFF Alexander,IWG,"04'12""",5,39446
1.0,ZINGLE Axel,COF,"4h26'38""",80,39688
2.0,GODON Dorian,ACT,,48,39688
3.0,FERRON Valentin,TEN,,40,39688
4.0,VAUQUELIN Kévin,ARK,,36,39688
5.0,PEREZ Anthony,COF,"07""",32,39688
6.0,MORIN Emmanuel,UNA,"07""",28,39688
7.0,HUPPERTZ Joshua,LKH,"07""",24,39688
8.0,CALMEJANE Lilian,ACT,"07""",20,39688
9.0,HERMANS Quinten,IWG,"07""",16,39688
10.0,FUENTES PANIEGO Angel,BBH,"07""",12,39688
11.0,SCOTSON Miles,GFC,"13""",10,39688
12.0,PAGE Hugo,IWG,"24""",9,39688
13.0,ARISTI GARDOKI Mikel,EUS,"24""",8,39688
14.0,COQUARD Bryan,COF,"24""",7,39688
15.0,COTE Pier-André,HPM,"24""",6,39688
16.0,VENTURINI Clément,ACT,"24""",5,39688
17.0,DEBEAUMARCHE Nicolas,AUB,"24""",5,39688
18.0,RIOU Alan,ARK,"24""",5,39688
19.0,BOUDAT Thomas,GRL,"24""",5,39688
20.0,ZUKOWSKY Nickolas,HPM,"24""",5,39688
21.0,DUJARDIN Sandy,TEN,"24""",0,39688
22.0,DELACROIX Théo,IWG,"29""",0,39688
23.0,HUGGER Jan,LKH,"32""",0,39688
24.0,THOMAS Benjamin,COF,"32""",0,39688
25.0,RAUGEL Antoine,ACT,"32""",0,39688
26.0,HEIDEMANN Miguel,BBK,"32""",0,39688
27.0,LEVEAU Jérémy,GRL,"32""",0,39688
28.0,MANZIN Lorrenzo,TEN,"32""",0,39688
29.0,LAUK Karl Patrick,BWB,"32""",0,39688
30.0,DEMARE Arnaud,GFC,"32""",0,39688
31.0,MCLAY Daniel,ARK,"36""",0,39688
1.0,BARGUIL Warren,ARK,"4h57'49""",130,39689
2.0,VLASOV Aleksandr,BOH,,78,39689
3.0,CLARKE Simon,IPT,,66,39689
4.0,VUILLERMOZ Alexis,TEN,,58,39689
5.0,VENDRAME Andrea,ACT,,52,39689
6.0,LATOUR Pierre,TEN,,46,39689
7.0,IZAGIRRE INSAUSTI Ion,COF,,40,39689
8.0,HIRSCHI Marc,UAD,,34,39689
9.0,CHAMPOUSSIN Clément,ACT,,28,39689
10.0,IZAGIRRE INSAUSTI Gorka,MOV,,24,39689
11.0,BILBAO LOPEZ DE ARMENTIA Pello,TBV,"03""",20,39689
12.0,CRAS Steff,LTS,"03""",18,39689
13.0,BARCELO ARAGON Fernando,CJR,"06""",16,39689
14.0,VAN GILS Maxim,LTS,"06""",14,39689
15.0,ZAMBANINI Edoardo,TBV,"11""",12,39689
16.0,ADRIA OLIVERAS Roger,EKP,"14""",10,39689
17.0,DE BOD Stefan,AST,"18""",9,39689
18.0,PARET-PEINTRE Aurélien,ACT,"20""",8,39689
19.0,LASTRA MARTINEZ Jonathan,CJR,"20""",7,39689
20.0,ARRIETA LIZARRAGA Igor,EKP,"25""",6,39689
21.0,MÄDER Gino,TBV,"25""",5,39689
22.0,MONIQUET Sylvain,LTS,"25""",5,39689
23.0,FIGUEIREDO Frederico Jose Oliveira,GCT,"25""",5,39689
24.0,PRODHOMME Nicolas,ACT,"25""",5,39689
25.0,SANCHEZ GIL Luis Leon,TBV,"28""",5,39689
26.0,RIABUSHENKO Aliaksandr,AST,"28""",5,39689
27.0,PERNSTEINER Hermann,TBV,"28""",5,39689
28.0,PARET-PEINTRE Valentin,ACT,"31""",5,39689
29.0,MANNION Gavin,HPM,"31""",5,39689
30.0,AZURMENDI SAGASTIBELTZA Ibai,EUS,"31""",5,39689
31.0,GARCIA PIERNA Raul,EKP,"38""",0,39689
1.0,DE LIE Arnaud,LTS,"5h04'26""",80,39690
2.0,OLDANI Stefano,ADC,"02""",48,39690
3.0,VLIEGEN Loïc,IWG,"02""",40,39690
4.0,ERIKSSON Jacob,RIW,"02""",36,39690
5.0,BONNEU Kamiel,SVB,"05""",32,39690
6.0,DUMOULIN Tom,TJV,"14""",28,39690
7.0,FIORELLI Filippo,BCF,"01'01""",24,39690
8.0,DE BONDT Dries,ADC,"01'01""",20,39690
9.0,REINDERS Elmar,RIW,"01'01""",16,39690
10.0,LEMMEN Bart,VWE,"01'01""",12,39690
11.0,GILBERT Philippe,LTS,"01'01""",10,39690
12.0,MOLLY Kenny,BWB,"01'01""",9,39690
13.0,TOWNSEND Rory,RDW,"01'01""",8,39690
14.0,FERASSE Thibault,BBK,"01'01""",7,39690
15.0,PLANCKAERT Baptiste,IWG,"01'01""",6,39690
16.0,VAN UDEN Casper,DDS,"01'01""",5,39690
17.0,BLOEM Joren,ABC,"01'01""",5,39690
18.0,GOEMAN Andreas,TIS,"01'01""",5,39690
19.0,BERCKMOES Jenno,SVB,"01'01""",5,39690
20.0,DE VRIES Hartthijs,MET,"01'01""",5,39690
21.0,WOOD Oliver,RDW,"01'01""",0,39690
22.0,TEUGELS Lennert,TIS,"01'01""",0,39690
23.0,STOCKMAN Abram,SVL,"01'01""",0,39690
24.0,STANNARD Robert,ADC,"01'01""",0,39690
25.0,EENKHOORN Pascal,TJV,"01'01""",0,39690
26.0,TIZZA Marco,BWB,"01'01""",0,39690
27.0,ERIKSSON Lucas,RIW,"01'01""",0,39690
28.0,BREGNHØJ Mathias,RIW,"01'01""",0,39690
29.0,VINJEBO Emil Nygaard,RIW,"01'01""",0,39690
30.0,CLYNHENS Toon,EHS,"01'01""",0,39690
31.0,LEEMREIZE Gijs,TJV,"01'01""",0,39690
1.0,VAN DER POEL Mathieu,ADC,"6h18'30""",280,39692
2.0,VAN BAARLE Dylan,IGD,,170,39692
3.0,MADOUAS Valentin,GFC,,145,39692
4.0,POGACAR Tadej,UAD,,125,39692
5.0,KÜNG Stefan,GFC,"02""",112,39692
6.0,TEUNS Dylan,TBV,"02""",100,39692
7.0,WRIGHT Fred,TBV,"11""",90,39692
8.0,PEDERSEN Mads,TFS,"48""",80,39692
9.0,LAPORTE Christophe,TJV,"48""",70,39692
10.0,KRISTOFF Alexander,IWG,"48""",62,39692
11.0,MATTHEWS Michael,BEX,"48""",54,39692
12.0,TRATNIK Jan,TBV,"48""",46,39692
13.0,BENOOT Tiesj,TJV,"01'02""",42,39692
14.0,PIDCOCK Thomas,IGD,"01'05""",38,39692
15.0,VAN AVERMAET Greg,ACT,"01'07""",34,39692
16.0,VAN POPPEL Danny,BOH,"01'07""",32,39692
17.0,LOUVEL Matis,ARK,"01'07""",30,39692
18.0,DEGENKOLB John,DSM,"01'07""",28,39692
19.0,TEUNISSEN Mike,TJV,"01'07""",26,39692
20.0,ARANBURU DEBA Alexander,MOV,"01'07""",24,39692
21.0,MOHORIC Matej,TBV,"01'07""",22,39692
22.0,GARCIA CORTINA Ivan,MOV,"01'07""",20,39692
23.0,ASGREEN Kasper,QST,"01'07""",18,39692
24.0,CAPIOT Amaury,ARK,"01'07""",16,39692
25.0,MOZZATO Luca,BBK,"01'07""",14,39692
26.0,SÜTTERLIN Jasha,TBV,"01'07""",12,39692
27.0,DE GENDT Aimé,IWG,"01'07""",10,39692
28.0,SKAARSETH Anders,UXT,"01'07""",8,39692
29.0,TERPSTRA Niki,TEN,"01'07""",7,39692
30.0,LAMPAERT Yves,QST,"01'07""",6,39692
31.0,LE GAC Olivier,GFC,"01'07""",5,39692
1.0,KRISTOFF Alexander,IWG,"4h02'02""",130,39693
2.0,VAN POPPEL Danny,BOH,"24""",78,39693
3.0,WELSFORD Samuel,DSM,"24""",66,39693
4.0,VAN UDEN Casper,DSM,"26""",58,39693
5.0,THEUNS Edward,TFS,"26""",52,39693
6.0,VANBILSEN Kenneth,COF,"28""",46,39693
7.0,MCLAY Daniel,ARK,"28""",40,39693
8.0,PHILIPSEN Jasper,ADC,"28""",34,39693
9.0,MERLIER Tim,ADC,"31""",28,39693
10.0,MULLEN Ryan,BOH,"31""",24,39693
11.0,SELIG Rüdiger,LTS,"31""",20,39693
12.0,MEEUS Jordi,BOH,"35""",18,39693
13.0,BENNETT Sam,BOH,"35""",16,39693
14.0,DE LIE Arnaud,LTS,"03'32""",14,39693
15.0,JAKOBSEN Fabio,QST,"03'32""",12,39693
16.0,POLITT Nils,BOH,"03'32""",10,39693
17.0,LUND ANDRESEN Tobias,DDS,"03'32""",9,39693
18.0,MOZZATO Luca,BBK,"03'32""",8,39693
19.0,SAJNOK Szymon,COF,"03'32""",7,39693
20.0,LIEPINS Emils,TFS,"03'32""",6,39693
21.0,VAN ROOY Kenneth,SVB,"03'32""",5,39693
22.0,MEZGEC Luka,BEX,"03'32""",5,39693
23.0,VERMEERSCH Florian,LTS,"03'35""",5,39693
24.0,STEELS Stijn,QST,"03'35""",5,39693
25.0,MØRKØV CHRISTENSEN Michael,QST,"03'37""",5,39693
26.0,VAN MOER Brent,LTS,"03'37""",5,39693
27.0,VAN KEIRSBULCK Guillaume,ADC,"03'39""",5,39693
28.0,MORICE Julien,BBK,"03'57""",5,39693
29.0,STYBAR Zdenek,QST,"04'14""",5,39693
30.0,HOOLE Daan,TFS,"06'23""",5,39693
1.0,KWIATKOWSKI Michal,IGD,"6h01'19""",220,39695
2.0,COSNEFROY Benoît,ACT,,132,39695
3.0,BENOOT Tiesj,TJV,"10""",112,39695
4.0,VAN DER POEL Mathieu,ADC,"20""",96,39695
5.0,KAMP Alexander,TFS,"20""",86,39695
6.0,ASGREEN Kasper,QST,"20""",76,39695
7.0,MATTHEWS Michael,BEX,"20""",66,39695
8.0,KÜNG Stefan,GFC,"20""",58,39695
9.0,HIRSCHI Marc,UAD,"20""",52,39695
10.0,TEUNS Dylan,TBV,"20""",46,39695
11.0,PIDCOCK Thomas,IGD,"20""",40,39695
12.0,TRATNIK Jan,TBV,"29""",35,39695
13.0,MOHORIC Matej,TBV,"01'42""",30,39695
14.0,MADOUAS Valentin,GFC,"01'43""",27,39695
15.0,VALGREN HUNDAHL (ANDERSEN) Michael,EFE,"01'43""",24,39695
16.0,FUGLSANG Jakob,IPT,"01'43""",21,39695
17.0,TRENTIN Matteo,UAD,"01'50""",19,39695
18.0,PACHER Quentin,GFC,"01'50""",18,39695
19.0,ARANBURU DEBA Alexander,MOV,"01'50""",17,39695
20.0,WELLENS Tim,LTS,"01'50""",16,39695
21.0,BARGUIL Warren,ARK,"01'50""",15,39695
22.0,VAN BAARLE Dylan,IGD,"01'50""",14,39695
23.0,VAN GILS Maxim,LTS,"02'29""",13,39695
24.0,VAN AVERMAET Greg,ACT,"02'29""",12,39695
25.0,STYBAR Zdenek,QST,"02'29""",11,39695
26.0,CALMEJANE Lilian,ACT,"02'29""",10,39695
27.0,PASQUALON Andrea,IWG,"02'29""",9,39695
28.0,SKUJINS Toms,TFS,"02'29""",8,39695
29.0,ANDERSEN Søren Kragh,DSM,"02'29""",7,39695
30.0,DUMOULIN Tom,TJV,"02'29""",6,39695
31.0,HAIG Jack,TBV,"02'29""",5,39695
1.0,DELAPLACE Anthony,ARK,"5h12'01""",80,39696
2.0,FERRON Valentin,TEN,"04""",48,39696
3.0,FERASSE Thibault,BBK,"14""",40,39696
4.0,BOUCHARD Geoffrey,ACT,"14""",36,39696
5.0,JANSSENS Jimmy,ADC,"14""",32,39696
6.0,LOUVEL Matis,ARK,"39""",28,39696
7.0,BOASSON HAGEN Edvald,TEN,"39""",24,39696
8.0,MOZZATO Luca,BBK,"39""",20,39696
9.0,TOUZE Damien,ACT,"39""",16,39696
10.0,ZINGLE Axel,COF,"39""",12,39696
11.0,MAURELET Flavien,AUB,"39""",10,39696
12.0,SIMON Julien,TEN,"39""",9,39696
13.0,GESBERT Elie,ARK,"39""",8,39696
14.0,DELBOVE Joris,AUB,"43""",7,39696
15.0,RAUGEL Antoine,ACT,"49""",6,39696
16.0,LEVEAU Jérémy,GRL,"49""",5,39696
17.0,KIELICH Timo,AFC,"49""",5,39696
18.0,ABRAHAMSEN Jonas,UXT,"49""",5,39696
19.0,LADAGNOUS Matthieu,GFC,"49""",5,39696
20.0,ANIOLKOWSKI Stanislaw,BWB,"49""",5,39696
21.0,MALDONADO Anthony,AUB,"49""",0,39696
22.0,CARISEY Clément,GRL,"49""",0,39696
23.0,PICHON Laurent,ARK,"52""",0,39696
24.0,ROCHAS Rémy,COF,"54""",0,39696
25.0,LAPEIRA Paul,ACT,"54""",0,39696
26.0,EG Niklas,UXT,"59""",0,39696
27.0,OURSELIN Paul,TEN,"01'09""",0,39696
28.0,MIFSUD Andréa,NMC,"01'09""",0,39696
29.0,COLMAN Alex,SVB,"01'09""",0,39696
30.0,HARDY Romain,ARK,"01'09""",0,39696
31.0,DVERSNES Fredrik,UXT,"01'15""",0,39696
1.0,SHEFFIELD Magnus,IGD,"4h53'21""",130,39697
2.0,COSNEFROY Benoît,ACT,"37""",78,39697
3.0,BARGUIL Warren,ARK,"37""",66,39697
4.0,TURNER Benjamin,IGD,"40""",58,39697
5.0,PIDCOCK Thomas,IGD,"41""",52,39697
6.0,EVENEPOEL Remco,QST,"41""",46,39697
7.0,MATTHEWS Michael,BEX,"41""",40,39697
8.0,TEUNS Dylan,TBV,"41""",34,39697
9.0,WELLENS Tim,LTS,"41""",28,39697
10.0,MEURISSE Xandro,ADC,"51""",24,39697
11.0,VALGREN HUNDAHL (ANDERSEN) Michael,EFE,"01'46""",20,39697
12.0,DE PLUS Laurens,IGD,"01'46""",18,39697
13.0,IMPEY Daryl,IPT,"01'46""",16,39697
14.0,VANSEVENANT Mauri,QST,"01'46""",14,39697
15.0,GODON Dorian,ACT,"01'46""",12,39697
16.0,HOULE Hugo,IPT,"01'46""",10,39697
17.0,BERCKMOES Jenno,SVB,"01'46""",9,39697
18.0,NIZZOLO Giacomo,IPT,"01'46""",8,39697
19.0,NAESEN Oliver,ACT,"01'46""",7,39697
20.0,BRAET Vito,SVB,"01'46""",6,39697
21.0,GALLOPIN Tony,TFS,"01'46""",5,39697
22.0,TRENTIN Matteo,UAD,"01'46""",5,39697
23.0,AYUSO PESQUERA Juan,UAD,"01'46""",5,39697
24.0,RENARD Alexis,COF,"01'46""",5,39697
25.0,BEULLENS Cédric,LTS,"01'46""",5,39697
