"Rider","Pro_year","Points_as_neopro","heuristic"
"colman alex",2021,NA,0.166666666666667
"colò alessandro",2010,0,1.05833333333333
"conca filippo",2021,NA,0.520833333333333
"conci nicola",2018,201,0.988888888888889
"consonni simone",2017,685,0.486111111111111
"conti samuele",2014,68,0
"conti valerio",2014,354,0.566666666666667
"contoli alberto",2010,4,0.833333333333333
"contreras rodrigo",2016,34,0
"coomans bjorn",2008,54,0.166666666666667
"coppel jérôme",2008,344,0.583333333333333
"coquard bryan",2013,1331,0.5
"corbel erwann",2013,158,0.25
"cornu dominique",2008,226,0.466666666666667
"cort magnus",2015,752,0.438095238095238
"corti marco",2008,35,0.5
"cosnefroy benoît",2018,866,0.733333333333333
"costa rui",2007,213,0
"coté pier-andré",2019,36,0.25
"courteille arnaud",2011,36,0.25
"cousin jérôme",2011,146,0.45
"covili luca",2019,41,0.0625
"cozza steven",2007,88,0
"craddock lawson",2014,213,0.591904761904762
"crane matthew",2007,0,0
"cras steff",2018,211,0.780555555555556
"cuadros álvaro",2018,23,0
"cullaigh gabriel",2020,10,0.18452380952381
"cusin rémi",2009,177,0.25
"da ros gianni",2008,14,0
"dainese alberto",2020,141,0.375
"dal col andrea",2014,20,0
"damuseau thomas",2011,32,0.291666666666667
"danacik jakub",2008,0,0.2
"danacik jakub",2008,0,0.2
"daniel gregory",2017,48,0.0571428571428571
"daniel maxime",2013,207,0.333333333333333
"davies scott",2018,103,0.628571428571429
"davis cole",2018,0,0.2
"de bie sean",2014,448,1.03571428571429
"de bod stefan",2019,172,0.272727272727273
"de bonis matteo",2020,NA,0
"de buyst jasper",2013,167,0.5
"de decker alfdan",2019,141,0
"de gendt aimé",2016,111,0.306944444444444
"de gendt thomas",2009,446,0.333333333333333
"de greef francis",2008,239,0.904761904761905
"de ieso donato",2013,4,0.5
"de jonghe kevin",2012,0,1.13333333333333
"de la cruz david",2012,221,0
"de lis sergio",2009,25,0
"de mesmaeker kevin",2013,12,0
"de negri pier paolo",2009,113,0.666666666666667
"de patre roberto",2010,0,0
"de pauw moreno",2014,0,0
"de pestel sander",2020,NA,0.05
"de plus jasper",2020,NA,0
"de plus laurens",2016,270,0.566666666666667
"de rossi lucas",2018,69,0
"de tier floris",2015,263,0.722727272727273
"de troyer tim",2013,103,0.2
"de vreese laurens",2011,257,0.2
"de vylder lindsay",2017,32,0
"de wilde gilles",2020,6,0
"debesay yakob",2021,NA,1
"debusschere jens",2011,126,0.85
"declercq benjamin",2017,240,0.0555555555555556
"declercq tim",2012,227,0.35
"degenkolb john",2011,2333,1.2722619047619
"dekker david",2021,NA,0
"delaplace anthony",2009,112,0.375
"delle stelle christian",2012,33,0.1
"deltombe kevin",2017,190,0.307142857142857
"deltombe kevin",2017,190,0.307142857142857
"démare arnaud",2012,1754,1.27777777777778
"dennis rohan",2013,915,0.633333333333333
"denz nico",2016,82,0.0666666666666667
"deroo david",2007,18,0
"deruette thomas",2017,6,0.05
"devenyns dries",2007,114,0.333333333333333
"devine john",2008,8,0.611111111111111
"devriendt tom",2015,144,0
"dewulf stan",2019,243,0.71025641025641
"di corrado andrea",2012,87,0
"di renzo andrea",2020,NA,0
"díaz josé manuel",2017,86,0
"dibben jonathan",2017,150,0.683333333333333
"dillier silvan",2014,884,1
"dlamini nic",2018,55,0.183333333333333
"docker mitchell",2007,117,0
"dockx gert",2009,78,0.458333333333333
"domagalski karol",2012,40,0
"dombrowski joe",2013,107,0.75
"domene ramon",2011,7,0.333333333333333
"domont axel",2013,65,0.652380952380952
"donadello emiliano",2007,97,0
"doubey fabien",2017,80,0
"dougall nic",2015,62,0
"doull owain",2017,339,0.508333333333333
"dowsett alex",2011,492,0.395833333333333
"drouilly mathieu",2008,0,0
"duarte fabio",2007,84,0
"duchesne antoine",2014,219,0.0666666666666667
"duijn huub",2007,61,0.4
"dumoulin tom",2012,753,0.566666666666667
"dunbar eddie",2019,584,0.934126984126984
"duquennoy jimmy",2017,53,0.166666666666667
"durbridge luke",2012,939,1.08333333333333
"duval aurelien",2009,0,0.0833333333333333
"eaton daniel",2016,54,0.366666666666667
"edet nicolas",2011,140,1.16666666666667
"edmondson alex",2016,219,0.45
"edmondson joshua",2013,72,0.4
"eenkhoorn pascal",2018,265,0.347222222222222
"eg niklas",2018,297,0.666666666666667
"egger alexander",2008,0,0
"egholm jakob",2019,0,0.333333333333333
"eibegger markus",2007,189,0
"eijssen yannick",2011,86,0.734325396825397
"eiking odd christian",2016,474,0.266666666666667
"eisenhart taylor",2018,87,0.0833333333333333
"el fares julien",2008,494,0.75
"elissonde kenny",2012,335,1.08333333333333
"ellsay nigel",2018,45,0
"elosegui iñigo",2020,26,0
"enger sondre holst",2015,585,1.26666666666667
"eriksson lucas",2019,139,0.316666666666667
"ermenault corentin",2018,17,0.845238095238095
"ershov artur",2012,126,0.0833333333333333
"euser lucas",2007,113,0
"evenepoel remco",2019,1770,0.9
"evtushenko alexander",2015,8,0.333333333333333
"ewan caleb",2015,1294,0.972222222222222
"fabbro matteo",2018,245,0.878571428571429
"fagerhaug petter",2019,0,0
"fairly caleb",2011,34,0.5
"fankhauser clemens",2007,37,0
"fantini alessandro",2009,24,0
"farazijn maxime",2016,50,0.65
"favilli elia",2011,390,0.166666666666667
"fedeli alessandro",2019,200,0.822916666666667
"fedi andrea",2014,447,0.266666666666667
"fedi matteo",2011,14,0.333333333333333
"fedorov yevgeniy",2021,NA,0.183333333333333
"feillu brice",2009,323,0.666666666666667
